"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2021年06月29日","6,450.0","6,430.0","6,507.0","6,419.0","3.40M","-0.60%"
"2021年06月28日","6,489.0","6,479.0","6,525.0","6,395.0","4.08M","1.22%"
"2021年06月25日","6,411.0","6,228.0","6,416.0","6,220.0","4.72M","4.11%"
"2021年06月24日","6,158.0","6,128.0","6,178.0","6,121.0","1.73M","-0.48%"
"2021年06月23日","6,188.0","6,229.0","6,294.0","6,188.0","3.34M","-1.12%"
"2021年06月22日","6,258.0","6,087.0","6,270.0","6,075.0","4.93M","6.30%"
"2021年06月21日","5,887.0","5,988.0","6,036.0","5,877.0","5.12M","-4.15%"
"2021年06月18日","6,142.0","6,186.0","6,202.0","6,142.0","3.18M","-0.63%"
"2021年06月17日","6,181.0","6,185.0","6,248.0","6,178.0","3.50M","-1.12%"
"2021年06月16日","6,251.0","6,152.0","6,270.0","6,150.0","3.84M","2.48%"
"2021年06月15日","6,100.0","6,012.0","6,111.0","6,002.0","3.24M","1.13%"
"2021年06月14日","6,032.0","6,017.0","6,052.0","5,997.0","1.73M","0.82%"
"2021年06月11日","5,983.0","6,014.0","6,069.0","5,966.0","3.91M","-1.48%"
"2021年06月10日","6,073.0","6,150.0","6,170.0","6,064.0","3.24M","-1.32%"
"2021年06月09日","6,154.0","6,058.0","6,178.0","6,054.0","3.83M","1.08%"
"2021年06月08日","6,088.0","6,065.0","6,098.0","6,034.0","3.06M","0.13%"
"2021年06月07日","6,080.0","6,063.0","6,131.0","5,998.0","4.96M","0.28%"
"2021年06月04日","6,063.0","5,989.0","6,080.0","5,967.0","3.63M","2.07%"
"2021年06月03日","5,940.0","5,860.0","5,989.0","5,851.0","2.81M","1.37%"
"2021年06月02日","5,860.0","5,896.0","5,901.0","5,837.0","3.01M","0.14%"
"2021年06月01日","5,852.0","5,768.0","5,859.0","5,731.0","2.82M","2.02%"
"2021年05月31日","5,736.0","5,790.0","5,830.0","5,717.0","2.66M","-1.38%"
"2021年05月28日","5,816.0","5,715.0","5,820.0","5,708.0","4.09M","2.56%"
"2021年05月27日","5,671.0","5,617.0","5,671.0","5,566.0","6.86M","-0.04%"
"2021年05月26日","5,673.0","5,668.0","5,725.0","5,637.0","3.21M","0.55%"
"2021年05月25日","5,642.0","5,700.0","5,723.0","5,640.0","2.87M","0.16%"
"2021年05月24日","5,633.0","5,550.0","5,679.0","5,550.0","3.26M","2.33%"
"2021年05月21日","5,505.0","5,436.0","5,536.0","5,423.0","3.61M","1.76%"
"2021年05月20日","5,410.0","5,400.0","5,451.0","5,383.0","2.15M","0.07%"
"2021年05月19日","5,406.0","5,398.0","5,415.0","5,336.0","2.82M","-1.44%"
"2021年05月18日","5,485.0","5,436.0","5,494.0","5,376.0","3.14M","1.88%"
"2021年05月17日","5,384.0","5,438.0","5,458.0","5,356.0","2.58M","0.00%"
"2021年05月14日","5,384.0","5,350.0","5,392.0","5,309.0","2.64M","2.55%"
"2021年05月13日","5,250.0","5,282.0","5,368.0","5,245.0","3.30M","-2.45%"
"2021年05月12日","5,382.0","5,402.0","5,413.0","5,310.0","5.07M","2.14%"
"2021年05月11日","5,269.0","5,305.0","5,340.0","5,250.0","3.23M","-2.14%"
"2021年05月10日","5,384.0","5,471.0","5,510.0","5,357.0","2.92M","-1.55%"
"2021年05月07日","5,469.0","5,379.0","5,509.0","5,370.0","3.04M","1.45%"
"2021年05月06日","5,391.0","5,492.0","5,522.0","5,362.0","5.07M","0.19%"
"2021年04月30日","5,381.0","5,330.0","5,477.0","5,329.0","8.94M","5.30%"
"2021年04月28日","5,110.0","5,152.0","5,184.0","5,103.0","2.54M","0.61%"
"2021年04月27日","5,079.0","5,159.0","5,169.0","5,066.0","2.17M","-1.93%"
"2021年04月26日","5,179.0","5,194.0","5,204.0","5,151.0","1.76M","0.64%"
"2021年04月23日","5,146.0","5,115.0","5,150.0","5,100.0","2.05M","0.49%"
"2021年04月22日","5,121.0","5,030.0","5,121.0","5,014.0","2.47M","2.98%"
"2021年04月21日","4,973.0","4,968.0","4,997.0","4,913.0","2.99M","-1.64%"
"2021年04月20日","5,056.0","5,101.0","5,103.0","5,020.0","2.93M","-2.62%"
"2021年04月19日","5,192.0","5,163.0","5,220.0","5,144.0","1.27M","0.41%"
"2021年04月16日","5,171.0","5,158.0","5,195.0","5,123.0","2.06M","0.98%"
"2021年04月15日","5,121.0","5,160.0","5,189.0","5,112.0","2.18M","-0.39%"
"2021年04月14日","5,141.0","5,225.0","5,225.0","5,110.0","3.05M","-2.06%"
"2021年04月13日","5,249.0","5,170.0","5,288.0","5,164.0","3.84M","3.04%"
"2021年04月12日","5,094.0","5,196.0","5,196.0","5,083.0","2.59M","-0.80%"
"2021年04月09日","5,135.0","4,998.0","5,160.0","4,980.0","4.37M","2.66%"
"2021年04月08日","5,002.0","5,075.0","5,084.0","4,967.0","3.31M","-0.87%"
"2021年04月07日","5,046.0","4,954.0","5,065.0","4,909.0","4.75M","2.17%"
"2021年04月06日","4,939.0","4,919.0","5,006.0","4,893.0","3.94M","0.78%"
"2021年04月05日","4,901.0","4,907.0","4,922.0","4,832.0","4.82M","-0.93%"
"2021年04月02日","4,947.0","4,898.0","4,975.0","4,883.0","3.99M","0.43%"
